Commits	Comprehension	Understand	Application	Analysis	Synthesis	Evaluation
24	5	4.3	247	8	7	1
24	4.5	3.8	247	8	7	1
24	3.5	4.5	247	8	7	0
26	5	4.7	329	29	9	0
26	5	4.5	329	29	9	0
31	4.75	3.05	18	8	6	1
31	5	3.1	18	8	6	0
35	4.5	3.2	184	5	7	1
36	5	2.9	170	12	7	0
36	5	4.5	170	12	7	0
36	2.5	3	320	12	7	0
37	4.25	4.35	218	15	9	0
37	4.5	3.2	218	15	9	0
41	5	4.5	288	26	10	0
41	5	4.1	288	26	10	0
41	5	4.1	45	31	8	0
41	5	4.3	45	31	8	1
49	0.5	4.3	287	14	9	1
49	5	4.5	287	14	9	0
49	5	4.4	287	14	9	1
54	4.75	4.65	214	16	10	1
54	2.5	4.3	214	16	10	0
54	5	4.2	214	16	10	0
68	5	4.6	14	16	10	0
74	4.75	4.25	295	4	10	0
129	5	4.5	432	26	10	1
129	4.5	3.8	432	26	10	1
